Company,Position,Location,Tags,Description,URL,Salary_Min,Salary_Max,Date,ID
Lockheed Martin,Software Engineer- Clearance Required,"Hanover, Anne Arundel County",,"Lockheed Martin, a leader in global security and aerospace, is seeking a highly skilled Software Engineer with security clearance. This role involves contributing to projects that involve the research, design, development, and maintenance of software systems used in defense applications. The right candidate will help us continue to deliver superior technology solutions that meet stringent security demands and complex functional requirements, all while upholding our commitments to ethical standa…",https://www.adzuna.com/land/ad/5591595344?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=83A23C659B11025960C5DA5A4B8FECD023F5BDF8,109868.6,109868.6,2026-01-19T15:03:03Z,5591595344
Lockheed Martin,Expert CNO Software Engineer,"Hanover, Anne Arundel County",,"Lockheed Martin, a leader in global security and aerospace, is seeking a highly skilled Expert CNO Software Engineer to strengthen our IT and Cybersecurity team. This role involves working on critical projects that focus on Computer Network Operations (CNO) including but not limited to, system exploitation, stealth and antivirus evasion, and reverse engineering. You will collaborate with a committed team to design, develop, and integrate advanced technology systems with an emphasis on ethical h…",https://www.adzuna.com/land/ad/5591349270?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=B19A1F6B905A38E26AA714F7BC51CACDE5AC0A16,131156.22,131156.22,2026-01-19T12:39:37Z,5591349270
Lockheed Martin,Offensive Cyber Software Engineers,"Hanover, Anne Arundel County",,"Lockheed Martin is seeking highly skilled Offensive Cyber Software Engineers to join our dynamic IT and Cybersecurity team. In this role, you will focus on designing, developing, and deploying sophisticated cyber attack frameworks and tools to identify, exploit, and mitigate vulnerabilities across a wide range of systems and products. As a part of our commitment to global security and technological superiority, your work will play a crucial role in advancing Lockheed Martin's offensive cybersec…",https://www.adzuna.com/land/ad/5591352757?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=7170C402695502092956FE9F5C805833282E644F,180216.03,180216.03,2026-01-19T12:55:40Z,5591352757
Lockheed Martin,Software Engineer - Clearance Required,"Hanover, Anne Arundel County",,"Job ID: 712393BR Date posted: Dec. 08, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires! What We're Doing: Lockheed Martin, Cyber & Intelligence invites you to step up to one of today's most daunting challenges: the use of advanced electronics to undermine our way of life. As a cyber security professional at Lockheed Martin, you'll protect the networks that our citizens and the world depend upon each minute: Financial assets. Healthcare information. Cr…",https://www.adzuna.com/land/ad/5589077183?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=600C114219FD147B937A3CBCC782974E4768BA88,161600.53,161600.53,2026-01-17T03:29:32Z,5589077183
Lockheed Martin,Software Engineer- Clearance Required,"Hanover, Anne Arundel County",,"Job ID: 712844BR Date posted: Dec. 10, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires! What We're Doing: Lockheed Martin, Rotary Mission Systems Cyber & Intelligence invites you to step up to one of today's most daunting challenges: the use of advanced electronics to undermine our way of life. As a cyber security professional at Lockheed Martin, you'll protect the networks that our citizens and the world depend upon each minute: Financial assets. Hea…",https://www.adzuna.com/land/ad/5589330715?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=3EEFDB64EEF9721A00A6FB378E080E5E2C0CDAB7,147422.83,147422.83,2026-01-17T12:07:52Z,5589330715
Lockheed Martin,Modernization Software Engineer - SWE0,"Hanover, Anne Arundel County",,"Job ID: 709787BR Date posted: Nov. 03, 2025 Description: Who You Are: Here, you are going to provide life-cycle services to advance mission in support of Cybersecurity and SIGINT midpoint collection. • You will modernize and sustain capabilities to include providing new features and enhancements to Front End Solutions systems. This will allow for products to work at-scale with processing of target communications across multiple types of Midpoint accesses. • You will propel the customer into the…",https://www.adzuna.com/land/ad/5582408375?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=106760021DF4F9AB781F34112EAB7D4BFCB05EA3,142694.55,142694.55,2026-01-13T11:37:08Z,5582408375
Lockheed Martin,Software Engineer - Mid Level,"Savage, Anne Arundel County",,"Job ID: 711009BR Date posted: Nov. 18, 2025 Description: WHAT WE'RE DOING Lockheed Martin, Rotary Mission Systems Cyber & Intelligence invites you to step up to one of today's most daunting challenges: the use of advanced electronics to undermine our way of life. As a cyber security professional at Lockheed Martin, you'll protect the networks that our citizens and the world depend upon each minute: Financial assets. Healthcare information. Critical infrastructure. Hazardous materials. The unint…",https://www.adzuna.com/land/ad/5576808712?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=712B19CAC43A05362CE367121485B1D18B0CCD4F,150161.69,150161.69,2026-01-09T15:59:46Z,5576808712
Lockheed Martin,Expert CNO Software Engineer,"Hanover, Anne Arundel County",,"Job ID: 704965BR Date posted: Jan. 06, 2026 Description: The Work: A Senior Expert CNO Software Engineer does work that requires a highly skilled individual with expertise in computer network operations, programming, and analysis. Key responsibilities include designing, developing, and testing software applications, as well as analyzing and troubleshooting complex computer networks. Ideally you'll have experience with programming languages such as Java, C++, and Python, as well as knowledge of …",https://www.adzuna.com/land/ad/5588917447?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=C811451AA98E82BF66CA3584D482D8DF98817B01,170803.86,170803.86,2026-01-17T00:25:44Z,5588917447
Lockheed Martin,Offensive Cyber Software Engineer,"Hanover, Anne Arundel County",,"Job ID: 701893BR Date posted: Nov. 12, 2025 Description: The Work: A CNO Software Expert does work that requires a highly skilled individual using their expertise in computer network operations, programming, and analysis. Key responsibilities include designing, developing, and testing software applications, as well as analyzing and troubleshooting complex computer networks. Ideally you'll have experience with programming languages such as Java, C++, and Python, as well as knowledge of computer …",https://www.adzuna.com/land/ad/5575839551?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=D586FFAF01896C6DFCD864EB9D205018072B65D4,155137.1,155137.1,2026-01-09T08:47:04Z,5575839551
Lockheed Martin,Offensive Cyber Software Engineers,"Hanover, Anne Arundel County",,"Job ID: 701893BR Date posted: Nov. 12, 2025 Description: The Work: A CNO Software Expert does work that requires a highly skilled individual using their expertise in computer network operations, programming, and analysis. Key responsibilities include designing, developing, and testing software applications, as well as analyzing and troubleshooting complex computer networks. Ideally you'll have experience with programming languages such as Java, C++, and Python, as well as knowledge of computer …",https://www.adzuna.com/land/ad/5586163291?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=6093A2E7246F33A57DD9991EFC4FDDE0BF38AE45,155137.1,155137.1,2026-01-15T11:02:51Z,5586163291
